locus_1,locus_2,locus_3,locus_4,locus_5,locus_6,locus_7,locus_8,locus_9,locus_10,locus_11,locus_12,locus_13,locus_14,locus_15,id
125,233,109,370,426,101,215,168,100,78,125,239,213,262,122,sample_396
127,245,105,372,428,101,215,172,103,78,125,239,205,262,122,sample_397
125,233,113,370,424,104,215,168,97,80,125,239,213,264,124,sample_398
119,236,105,364,426,107,210,159,106,82,121,236,213,264,124,sample_399
125,236,105,364,428,104,210,172,103,86,123,236,205,262,124,sample_400
125,245,101,372,426,107,210,164,100,82,129,245,213,272,122,sample_401
121,236,105,361,422,107,210,168,100,86,125,239,213,264,122,sample_402
121,239,105,372,426,101,210,164,100,80,125,236,209,262,122,sample_403
123,239,113,362,424,107,210,159,109,82,125,233,209,264,122,sample_404
127,245,105,372,426,107,210,164,109,82,129,242,213,268,122,sample_405
127,239,105,368,424,104,215,168,106,78,125,236,205,261,122,sample_406
119,233,109,364,428,104,210,172,97,82,127,233,205,268,124,sample_407
125,239,105,364,426,107,210,164,106,82,127,242,209,272,122,sample_408
127,242,101,364,424,98,210,164,109,82,127,245,209,268,122,sample_409
123,236,113,366,426,104,210,164,106,82,123,242,205,264,124,sample_410
119,236,105,364,428,110,210,172,106,80,121,239,205,270,124,sample_411
119,242,109,362,422,107,210,168,106,84,129,239,205,264,124,sample_412
125,245,101,372,428,104,215,168,109,82,125,242,213,272,122,sample_413
127,233,109,364,426,107,210,164,106,84,125,239,209,272,122,sample_414
125,242,105,372,422,101,210,168,100,78,125,239,209,261,122,sample_415
125,245,105,372,428,98,210,159,109,82,127,242,209,272,122,sample_416
129,239,109,370,428,101,215,168,100,80,127,239,209,261,124,sample_417
127,239,105,372,424,104,215,172,103,82,125,239,209,261,122,sample_418
125,239,113,368,422,104,215,172,103,78,127,239,205,262,124,sample_419
119,242,113,364,424,104,215,172,106,86,123,239,209,262,124,sample_420
127,233,101,366,428,98,210,159,109,82,125,242,209,272,122,sample_421
127,242,101,368,428,107,210,164,109,82,129,242,213,272,122,sample_422
127,242,105,364,426,107,210,159,109,82,125,236,209,270,122,sample_423
129,233,101,362,428,104,210,164,106,84,127,242,213,272,122,sample_424
127,242,109,362,428,104,210,164,112,82,127,245,213,272,124,sample_425
119,236,105,370,424,98,210,168,106,86,123,236,213,264,124,sample_426
127,245,105,362,428,107,210,164,109,82,127,245,213,268,122,sample_427
125,236,113,368,424,107,210,172,109,80,125,239,213,264,122,sample_428
119,233,101,364,428,110,210,172,112,86,123,242,205,261,122,sample_429
125,239,109,372,428,104,210,164,97,78,129,236,213,262,124,sample_430
129,242,109,372,422,98,215,172,100,78,125,239,205,262,124,sample_431
119,236,105,370,424,107,210,172,109,86,119,239,205,266,124,sample_432
127,239,105,372,428,98,215,172,97,80,129,239,213,262,122,sample_433
129,233,109,368,428,104,210,168,106,86,123,239,205,264,124,sample_434
127,245,105,362,428,101,215,164,109,82,129,245,213,272,124,sample_435
119,233,101,366,424,107,210,168,103,86,121,236,201,270,124,sample_436
123,239,109,364,426,107,215,172,106,82,127,239,213,261,124,sample_437
125,245,105,370,424,104,210,164,109,80,127,245,213,262,122,sample_438
123,233,109,364,426,107,210,176,100,86,123,233,213,268,124,sample_439
121,236,109,372,422,101,215,172,100,80,123,239,213,264,124,sample_440
121,233,113,370,428,107,210,159,106,86,123,233,205,262,124,sample_441
119,233,105,362,428,107,210,168,106,86,125,236,213,268,124,sample_442
121,239,105,370,428,101,215,168,100,78,127,239,213,261,124,sample_443
129,242,105,364,428,101,210,164,109,82,127,239,213,272,122,sample_444
119,233,105,364,428,107,210,176,109,80,121,242,209,264,124,sample_445
123,239,113,372,426,101,215,172,100,78,123,239,209,261,124,sample_446
127,239,101,364,428,104,210,164,109,82,129,233,209,272,122,sample_447
127,245,101,364,428,104,210,164,106,82,127,242,213,272,122,sample_448
125,239,105,368,428,101,215,172,100,82,127,233,209,261,124,sample_449
123,236,109,361,428,107,210,159,106,86,123,239,209,268,124,sample_450
129,239,105,368,428,104,215,164,100,82,125,233,205,264,124,sample_451
125,239,113,370,422,101,215,172,100,80,125,239,209,262,124,sample_452
125,239,105,370,422,104,215,168,97,82,125,242,205,261,124,sample_453
125,236,105,372,428,104,215,168,106,78,129,239,209,262,124,sample_454
119,233,105,370,426,101,210,168,109,86,125,233,209,261,124,sample_455
121,233,109,368,428,107,210,172,97,86,125,236,201,264,122,sample_456
125,242,105,366,428,110,210,164,106,80,129,245,205,272,124,sample_457
123,236,113,364,422,107,210,172,103,86,125,239,205,264,124,sample_458
127,245,109,368,428,107,210,159,112,82,127,242,213,272,124,sample_459
121,236,109,362,424,101,215,172,97,86,119,233,213,268,124,sample_460
129,239,105,366,428,107,210,172,109,86,125,242,201,264,124,sample_461
129,239,101,364,424,98,210,168,103,82,125,245,213,264,122,sample_462
127,239,113,370,422,98,215,164,103,78,127,239,209,262,124,sample_463
119,239,105,362,424,104,210,164,109,84,127,233,205,261,122,sample_464
121,236,101,361,422,107,210,164,106,86,119,239,205,264,122,sample_465
125,239,109,368,422,101,215,168,103,82,127,239,205,264,122,sample_466
129,239,113,372,424,101,215,168,103,80,127,239,209,261,124,sample_467
129,242,105,372,428,104,210,168,106,82,129,239,209,266,122,sample_468
129,245,101,366,428,107,215,164,109,82,125,242,213,270,122,sample_469
119,239,105,362,428,110,215,172,106,86,121,236,201,270,124,sample_470
125,239,109,368,428,104,215,172,97,80,125,239,209,264,122,sample_471
125,239,109,370,428,104,215,176,97,82,125,239,213,262,124,sample_472
129,233,101,362,428,104,210,164,103,82,127,245,213,262,122,sample_473
125,242,105,364,426,110,210,164,109,82,127,236,213,272,122,sample_474
121,236,105,364,428,98,210,176,109,82,125,236,205,264,124,sample_475
121,239,105,364,422,98,210,172,109,86,119,236,209,268,124,sample_476
127,242,105,364,428,104,210,164,112,82,127,245,209,262,122,sample_477
129,233,105,370,428,101,215,168,97,78,125,242,205,261,122,sample_478
125,239,105,372,424,98,210,168,100,80,123,239,213,262,122,sample_479
127,236,101,370,426,104,210,164,109,80,127,242,209,264,122,sample_480
121,242,113,364,426,107,210,168,97,80,123,239,213,264,124,sample_481
127,239,105,372,422,107,215,168,100,80,125,239,205,262,124,sample_482
125,236,101,368,428,107,210,164,106,82,129,242,213,272,122,sample_483
127,245,101,368,428,104,210,172,109,82,125,233,213,270,122,sample_484
125,239,109,372,422,101,215,159,106,80,129,236,213,264,124,sample_485
121,239,105,370,426,104,210,159,97,80,121,239,205,264,124,sample_486
119,236,105,364,428,107,210,172,103,86,125,236,213,264,124,sample_487
119,239,101,364,426,104,215,172,106,86,125,233,205,262,122,sample_488
129,239,101,372,428,110,210,164,109,82,125,242,213,272,122,sample_489
125,236,109,370,424,101,210,168,103,82,129,233,205,262,124,sample_490
129,236,105,372,428,107,215,172,100,80,129,239,209,261,122,sample_491
127,233,109,364,424,104,215,164,112,82,127,242,213,270,122,sample_492
129,236,101,364,428,104,210,164,106,82,127,242,209,268,124,sample_493
121,233,109,362,426,101,210,176,106,86,123,236,205,262,124,sample_494
125,245,101,368,428,104,210,168,109,80,127,245,209,272,122,sample_495
129,239,101,362,428,107,215,164,97,82,127,245,213,264,122,sample_496
125,242,109,364,428,110,215,164,109,82,129,233,213,262,122,sample_497
125,239,105,372,428,110,210,164,103,80,127,239,213,272,122,sample_498
123,236,105,361,424,98,215,159,106,80,121,239,209,264,122,sample_499
127,239,105,372,424,101,215,168,100,78,129,239,209,264,124,sample_500
119,233,113,362,422,101,210,172,106,84,123,239,205,270,124,sample_501
125,242,105,364,428,107,210,168,109,82,127,245,213,266,122,sample_502
127,236,105,361,428,107,210,159,106,84,121,242,205,262,124,sample_503
121,239,105,362,428,107,215,172,112,80,119,233,205,262,124,sample_504
119,236,105,368,428,104,215,168,106,86,125,236,205,268,124,sample_505
123,239,105,362,422,107,210,172,109,86,125,233,213,264,124,sample_506
125,239,109,370,426,101,215,168,103,78,127,239,209,261,124,sample_507
123,236,105,361,424,107,210,168,106,82,125,239,205,262,124,sample_508
119,233,113,362,428,104,210,172,109,82,123,239,201,264,122,sample_509
121,236,105,364,424,104,210,168,112,84,125,239,205,262,124,sample_510
127,245,109,364,424,98,210,159,109,80,129,245,209,266,124,sample_511
125,236,101,364,428,107,210,164,109,80,129,242,213,272,122,sample_512
125,239,109,370,426,104,215,172,100,80,123,239,213,262,124,sample_513
127,245,109,372,426,101,215,168,97,78,127,239,205,262,122,sample_514
123,233,105,364,422,104,210,176,97,80,121,239,205,262,124,sample_515
129,233,113,372,422,101,215,168,103,80,125,239,209,261,124,sample_516
127,245,101,372,428,104,215,164,106,80,127,242,209,264,124,sample_517
127,245,105,362,426,104,210,168,103,80,125,245,209,264,124,sample_518
125,239,105,372,426,101,215,164,106,78,123,239,205,262,124,sample_519
123,233,105,362,424,107,210,164,106,84,123,233,213,268,122,sample_520
125,236,101,364,428,107,210,164,97,82,125,236,209,270,122,sample_521
125,245,101,370,426,101,210,164,103,80,129,242,213,272,124,sample_522
127,239,109,370,422,98,210,172,97,80,125,239,209,264,124,sample_523
125,242,105,362,428,107,210,159,100,84,129,242,213,272,122,sample_524
125,233,105,370,428,104,215,168,97,78,125,239,205,261,124,sample_525
125,239,105,370,426,110,210,164,109,84,125,245,213,268,122,sample_526
125,239,105,370,428,101,215,168,100,80,127,239,209,261,124,sample_527
119,233,101,364,426,101,210,168,109,86,123,239,201,264,124,sample_528
121,236,105,364,428,107,210,164,106,86,127,239,201,262,124,sample_529
121,239,113,362,428,98,215,164,106,82,125,239,205,264,124,sample_530
127,239,109,368,426,107,215,168,100,78,123,239,209,261,124,sample_531
125,242,113,372,428,101,215,164,103,78,123,239,205,264,124,sample_532
127,239,109,370,422,101,215,168,97,78,127,239,213,261,124,sample_533
123,236,105,364,424,98,210,172,106,86,123,239,205,262,122,sample_534
129,233,113,372,426,101,215,168,97,80,125,239,205,261,124,sample_535
121,239,113,372,426,104,215,176,97,82,129,239,209,264,124,sample_536
127,242,109,372,426,104,210,164,109,82,129,236,209,272,124,sample_537
125,239,101,364,428,107,210,159,112,80,125,233,213,262,122,sample_538
129,245,109,368,424,104,210,168,100,82,127,245,213,262,122,sample_539
119,233,105,362,428,104,210,164,106,80,119,236,209,262,124,sample_540
127,242,105,364,428,110,210,164,109,82,127,233,213,272,122,sample_541
129,239,109,364,428,104,215,176,97,86,125,242,205,264,124,sample_542
121,236,113,364,428,107,215,159,106,86,123,239,213,262,122,sample_543
127,239,109,372,426,107,210,164,103,78,125,239,205,264,124,sample_544
127,239,109,372,428,110,210,168,97,82,127,245,213,264,122,sample_545
119,233,101,366,428,107,210,172,106,80,125,236,209,264,122,sample_546
125,236,113,364,424,107,210,172,97,86,123,239,205,262,124,sample_547
127,239,105,370,424,104,215,172,97,82,129,233,213,261,124,sample_548
129,245,105,364,428,104,210,168,109,80,125,245,213,270,122,sample_549
121,236,101,362,426,101,210,168,106,86,125,242,205,264,124,sample_550
125,233,109,361,428,98,210,172,106,86,127,233,213,264,124,sample_551
127,242,101,364,428,107,210,164,109,82,125,245,213,262,122,sample_552
121,233,105,364,424,101,210,159,109,86,125,239,205,264,122,sample_553
121,239,109,372,426,101,215,159,100,80,129,239,205,261,124,sample_554
125,239,105,372,422,107,215,168,103,82,129,239,213,262,124,sample_555
129,242,101,364,428,104,210,164,112,84,129,245,213,272,124,sample_556
123,236,105,370,422,101,215,168,103,80,123,239,213,261,124,sample_557
125,239,113,372,424,101,215,172,100,78,123,239,209,262,124,sample_558
125,239,109,370,422,98,215,172,100,80,129,233,209,261,124,sample_559
125,239,113,370,424,104,210,159,109,82,121,239,205,264,124,sample_560
121,239,105,368,426,110,215,168,109,86,125,233,205,262,124,sample_561
127,239,109,370,422,104,215,168,100,78,129,239,209,261,124,sample_562
125,239,109,372,426,101,215,168,106,78,125,239,205,261,124,sample_563
129,245,105,366,426,101,210,168,112,82,129,239,209,266,122,sample_564
119,242,113,364,422,104,215,168,106,86,121,236,205,264,122,sample_565
125,245,109,368,428,98,210,164,109,80,127,242,205,270,122,sample_566
123,239,109,370,428,107,215,168,97,80,123,239,209,261,124,sample_567
121,236,105,364,426,104,210,172,106,82,119,239,205,264,124,sample_568
127,239,105,370,426,107,210,164,109,80,129,245,213,272,122,sample_569
125,239,113,372,428,101,215,159,100,82,129,239,213,261,124,sample_570
123,236,113,364,426,104,210,172,97,80,125,233,209,268,122,sample_571
119,236,113,362,426,104,210,172,106,82,127,242,205,264,124,sample_572
127,239,105,368,426,104,215,168,97,80,123,239,209,262,124,sample_573
121,239,105,368,426,98,210,172,106,84,121,233,201,264,124,sample_574
127,233,101,366,424,104,215,168,100,82,125,242,209,272,122,sample_575
119,239,109,364,422,104,215,159,100,84,121,233,205,264,124,sample_576
119,242,101,362,422,104,210,172,106,86,121,236,213,264,124,sample_577
129,245,105,364,424,104,210,164,97,82,125,245,213,268,122,sample_578
127,239,105,364,422,107,215,159,103,86,125,239,205,264,122,sample_579
129,239,105,372,428,98,210,172,103,82,125,239,205,261,124,sample_580
121,239,101,364,424,104,210,168,106,80,123,236,209,262,124,sample_581
125,239,113,372,424,104,215,168,103,78,129,239,213,261,124,sample_582
119,236,113,364,428,104,215,172,103,86,125,239,205,264,122,sample_583
125,239,109,370,424,101,215,168,97,80,129,233,205,261,122,sample_584
125,239,109,368,428,101,215,164,100,78,125,239,209,262,122,sample_585
125,239,109,370,428,104,210,172,112,84,127,236,205,270,124,sample_586
125,236,105,368,426,110,210,168,106,84,119,239,209,264,124,sample_587
125,242,101,370,428,104,210,164,112,82,125,242,213,270,122,sample_588
125,239,109,364,428,110,210,172,106,84,119,242,205,261,124,sample_589
121,239,105,364,428,107,210,172,106,86,121,239,209,262,124,sample_590
127,242,105,364,428,104,215,164,112,82,127,239,213,272,124,sample_591
125,239,109,368,424,101,215,172,103,80,125,239,209,261,124,sample_592
121,242,113,364,428,104,215,172,109,80,125,242,205,264,122,sample_593
119,236,105,370,428,98,210,172,112,86,125,239,205,266,124,sample_594
125,239,113,370,426,101,210,168,97,80,125,239,205,262,124,sample_595
121,239,109,372,426,104,215,168,100,78,129,233,209,264,124,sample_596
123,239,113,364,426,98,210,176,106,86,123,239,209,264,122,sample_597
123,239,105,362,428,104,215,172,106,82,125,239,213,264,124,sample_598
125,239,109,370,428,104,215,168,103,80,125,239,209,262,124,sample_599
121,236,113,364,428,107,215,172,106,80,125,239,213,262,124,sample_600
121,239,113,370,424,101,215,172,103,82,127,239,205,261,124,sample_601
129,242,105,372,426,107,215,172,106,82,127,239,213,272,122,sample_602
119,236,105,364,422,98,210,164,100,80,119,236,209,261,122,sample_603
129,239,109,372,426,104,215,172,97,82,127,236,205,261,124,sample_604
129,239,109,370,424,107,215,172,100,78,129,239,209,261,124,sample_605
127,245,101,364,424,104,210,164,109,80,129,245,209,272,122,sample_606
121,239,105,370,428,101,210,164,106,86,121,236,209,264,124,sample_607
123,239,105,372,422,101,215,168,97,80,129,233,209,262,124,sample_608
123,236,109,368,426,101,210,172,112,82,119,239,205,262,124,sample_609
127,239,109,372,428,104,210,164,106,82,127,236,213,270,122,sample_610
119,233,105,368,424,104,215,159,112,86,125,233,205,264,124,sample_611
119,239,105,370,426,104,210,159,109,86,123,236,205,268,124,sample_612
129,236,101,364,428,107,210,164,109,82,127,245,209,270,124,sample_613
127,239,101,366,428,107,215,164,109,82,125,245,209,266,122,sample_614
121,242,105,370,428,104,215,164,106,82,125,236,201,266,124,sample_615
129,239,105,372,424,101,215,168,103,80,125,239,209,264,124,sample_616
121,239,105,370,426,98,210,172,109,84,125,239,213,262,124,sample_617
125,239,105,370,428,101,215,168,100,80,127,239,205,261,124,sample_618
125,239,109,361,422,104,215,172,106,86,123,236,213,262,124,sample_619
129,236,105,366,426,107,215,176,109,80,123,242,205,264,124,sample_620
127,245,101,364,426,107,210,172,109,82,127,245,205,264,122,sample_621
127,242,101,368,428,107,215,164,106,82,125,242,209,272,122,sample_622
121,236,113,362,428,107,210,172,109,86,123,239,213,266,124,sample_623
129,245,105,372,426,104,215,172,106,82,125,239,205,261,122,sample_624
125,239,105,372,426,98,215,172,100,82,123,239,209,261,124,sample_625
127,239,109,370,426,101,215,159,103,78,127,239,209,262,124,sample_626
127,233,113,372,424,104,215,164,103,80,127,239,209,261,124,sample_627
123,233,105,368,428,104,210,172,103,84,123,236,209,264,124,sample_628
125,239,109,370,424,101,215,164,100,78,125,236,205,264,124,sample_629
121,233,105,364,424,107,215,168,106,86,125,239,205,264,124,sample_630
119,239,105,364,424,104,210,172,100,82,123,242,205,264,124,sample_631
123,236,105,364,422,104,210,168,97,86,123,236,205,264,124,sample_632
125,239,109,372,422,101,215,164,97,78,129,239,205,264,124,sample_633
129,239,109,372,426,101,215,168,103,82,129,239,205,261,124,sample_634
121,239,105,372,428,101,215,164,100,82,125,239,205,261,124,sample_635
125,236,109,372,426,101,215,172,100,80,125,242,213,261,124,sample_636
121,236,105,361,426,110,210,172,100,86,125,233,209,266,124,sample_637
125,239,105,370,426,104,215,168,106,78,123,239,213,262,124,sample_638
123,239,113,368,424,107,215,172,100,80,127,239,205,262,124,sample_639
127,245,105,372,428,104,215,172,100,78,125,239,213,262,122,sample_640
119,233,105,361,426,104,210,172,106,82,119,242,209,268,124,sample_641
119,239,109,362,426,107,210,172,106,86,123,236,205,264,124,sample_642
127,236,109,364,426,107,210,176,106,82,123,233,205,262,124,sample_643
129,242,101,370,428,101,215,164,112,82,125,242,213,270,122,sample_644
119,236,105,364,426,101,215,172,112,86,127,236,201,264,124,sample_645
129,245,105,372,426,98,210,164,106,82,125,242,213,264,124,sample_646
125,242,109,368,428,107,210,164,106,82,129,245,213,266,122,sample_647
127,239,105,372,424,101,215,168,103,80,127,239,209,261,122,sample_648
129,239,105,372,422,104,215,168,103,80,129,239,205,261,124,sample_649
123,239,101,364,428,110,210,168,109,86,127,236,205,264,124,sample_650
125,239,109,370,422,104,215,172,103,80,129,239,205,261,122,sample_651
123,239,113,364,422,104,210,172,106,82,125,233,209,262,122,sample_652
121,242,105,370,428,98,210,172,106,82,123,242,205,262,122,sample_653
121,239,109,370,426,107,210,172,106,86,121,233,213,266,124,sample_654
127,245,105,372,428,107,215,164,106,80,125,242,213,272,122,sample_655
129,245,105,370,428,104,210,164,109,80,129,245,209,262,122,sample_656
121,236,105,368,422,107,210,172,109,84,123,236,205,264,124,sample_657
129,242,105,368,426,104,215,164,106,84,127,233,209,272,124,sample_658
121,236,105,361,422,98,210,164,106,84,125,236,213,268,124,sample_659
123,239,105,372,424,107,210,168,97,78,125,239,205,261,122,sample_660
125,233,105,370,422,104,215,168,97,78,127,239,205,261,124,sample_661
125,239,109,372,428,104,215,159,103,80,125,239,205,261,124,sample_662
129,239,105,361,422,107,210,164,100,82,123,233,205,262,124,sample_663
121,233,113,366,426,98,210,164,97,82,123,236,205,262,124,sample_664
129,242,105,368,426,104,215,164,100,78,129,239,209,262,122,sample_665
129,242,109,364,428,107,210,172,109,82,127,233,209,270,122,sample_666
121,239,105,368,422,101,215,168,106,78,125,233,213,262,124,sample_667
119,236,105,364,428,101,210,172,112,82,125,239,213,268,124,sample_668
129,239,109,370,424,101,215,172,100,82,127,239,209,261,124,sample_669
129,233,101,364,428,101,210,164,109,82,127,245,213,272,122,sample_670
121,239,113,370,424,104,215,168,100,80,125,239,213,261,124,sample_671
127,242,105,364,428,110,210,172,106,82,125,242,213,268,122,sample_672
125,239,105,372,426,98,215,164,106,80,127,242,209,261,124,sample_673
129,245,105,370,428,98,215,164,109,82,129,245,209,272,122,sample_674
125,236,105,364,428,107,210,164,112,86,127,239,209,264,124,sample_675
129,239,109,370,426,101,215,164,97,82,125,239,209,261,124,sample_676
127,239,113,370,422,101,215,168,100,80,125,233,209,261,124,sample_677
121,239,105,364,428,107,210,164,106,80,125,239,205,261,124,sample_678
125,236,105,364,426,107,210,168,106,82,121,236,205,264,124,sample_679
125,245,105,372,426,101,215,176,100,80,125,239,205,261,124,sample_680
129,239,109,370,426,101,215,172,106,82,127,239,213,261,124,sample_681
127,239,105,372,428,104,215,168,106,80,129,239,205,262,124,sample_682
119,239,109,362,424,104,210,164,109,80,125,242,205,262,124,sample_683
125,239,105,370,422,107,215,172,103,82,125,239,205,264,124,sample_684
123,245,113,372,428,101,215,164,103,78,123,239,213,261,124,sample_685
129,245,105,372,428,104,210,164,109,80,127,239,213,270,122,sample_686
125,239,109,372,428,104,215,164,100,80,125,245,209,264,124,sample_687
119,239,105,370,428,98,210,176,106,86,125,236,205,264,124,sample_688
125,239,109,372,424,101,215,172,100,82,127,239,209,264,122,sample_689
129,233,101,364,428,104,210,172,106,82,127,242,213,272,124,sample_690
123,239,113,370,422,104,215,172,97,82,127,239,209,261,124,sample_691
127,239,105,364,428,104,210,172,112,80,129,245,213,272,122,sample_692
125,239,109,370,424,101,210,168,100,80,125,239,205,261,124,sample_693
129,236,105,364,426,98,210,172,112,84,125,233,209,262,124,sample_694
121,236,101,361,422,98,215,164,112,82,125,239,209,270,124,sample_695
123,239,105,372,426,101,215,168,100,82,123,239,209,262,124,sample_696
127,242,109,364,428,107,215,168,106,82,127,242,213,270,124,sample_697
121,239,109,370,426,104,215,172,97,78,129,239,205,264,124,sample_698
119,239,105,368,424,107,210,159,106,80,123,236,205,264,122,sample_699
125,236,105,364,422,104,210,172,100,86,125,236,205,264,124,sample_700
129,245,105,364,428,107,210,168,109,82,129,233,213,266,124,sample_701
125,239,105,368,428,110,210,164,112,82,127,233,209,266,124,sample_702
121,236,113,362,426,107,215,164,97,80,123,239,213,264,124,sample_703
125,239,101,370,428,104,210,164,109,82,127,242,209,272,122,sample_704
127,245,109,372,428,98,215,164,106,82,129,242,213,272,122,sample_705
127,236,109,372,428,101,215,172,103,80,129,239,209,264,124,sample_706
129,236,105,370,428,104,210,164,109,82,129,245,213,272,122,sample_707
119,233,105,361,426,98,210,164,97,86,121,242,205,264,124,sample_708
119,239,105,364,426,104,215,172,103,84,127,236,209,261,124,sample_709
129,239,105,364,428,107,210,168,109,86,121,239,205,270,124,sample_710
129,239,113,370,422,101,210,164,97,78,127,245,213,262,124,sample_711
119,233,113,364,428,104,215,168,109,86,127,236,205,261,122,sample_712
127,239,105,372,428,98,215,168,100,78,125,239,209,261,124,sample_713
121,239,109,364,428,98,215,172,103,86,125,236,205,264,124,sample_714
123,236,109,364,428,107,210,168,100,86,119,236,201,270,122,sample_715
121,242,101,361,428,104,215,172,106,86,125,239,205,262,124,sample_716
125,245,101,364,428,104,210,164,109,82,125,233,213,272,122,sample_717
127,239,109,370,428,104,215,172,97,80,125,239,205,262,124,sample_718
119,236,109,362,422,107,210,172,106,84,121,236,205,262,122,sample_719
125,242,101,364,428,107,210,164,106,84,125,236,213,272,122,sample_720
121,236,105,364,424,107,210,172,103,80,125,242,201,268,124,sample_721
129,233,109,372,426,104,215,168,97,78,127,239,213,262,124,sample_722
125,242,105,370,426,101,215,164,112,84,127,236,213,272,124,sample_723
121,236,105,361,424,104,210,172,112,80,129,233,205,264,124,sample_724
127,239,105,372,426,101,215,168,100,82,125,239,205,262,124,sample_725
125,239,109,370,424,101,215,164,100,80,125,236,205,262,124,sample_726
125,245,101,364,428,104,210,164,109,82,127,245,213,266,122,sample_727
123,239,105,370,424,107,210,168,109,86,121,233,205,270,124,sample_728
123,239,105,361,422,107,210,168,106,80,123,236,205,264,124,sample_729
123,239,109,364,422,104,215,172,97,86,127,236,209,262,124,sample_730
129,239,105,372,428,104,215,172,103,82,127,233,209,264,124,sample_731
127,242,105,366,428,107,210,164,106,82,129,239,213,272,122,sample_732
127,239,105,372,422,107,210,172,97,80,125,236,213,262,124,sample_733
129,239,113,372,424,101,215,164,100,78,127,239,213,262,124,sample_734
127,242,101,364,424,104,210,164,106,82,129,242,205,268,124,sample_735
127,236,105,364,428,104,210,164,109,80,125,245,205,264,122,sample_736
123,239,105,364,428,107,210,172,103,84,125,236,201,262,124,sample_737
121,233,105,362,428,104,210,159,103,86,121,242,205,270,124,sample_738
127,239,105,372,428,104,210,164,106,84,127,242,213,264,122,sample_739
129,236,113,372,422,104,215,176,103,80,125,239,205,264,124,sample_740
123,233,113,370,428,101,215,164,100,82,125,245,205,261,124,sample_741
127,239,101,362,428,107,210,164,109,82,125,245,209,272,124,sample_742
119,236,113,370,426,110,210,164,106,86,127,239,205,261,124,sample_743
121,236,105,368,428,107,215,168,97,86,123,233,205,266,124,sample_744
119,236,109,368,424,107,210,164,103,86,123,239,205,264,122,sample_745
119,233,105,370,424,104,210,164,109,84,125,239,213,262,124,sample_746
121,242,101,361,422,104,215,159,106,86,121,236,213,264,122,sample_747
121,242,105,364,426,101,210,159,97,84,123,242,213,264,124,sample_748
123,236,105,362,426,104,210,172,112,86,125,239,205,264,122,sample_749
127,233,101,372,424,104,210,164,112,84,125,242,205,266,122,sample_750
121,239,105,362,424,107,210,164,97,86,129,236,205,270,124,sample_751
125,236,101,364,426,101,210,164,109,80,127,245,205,264,122,sample_752
121,236,109,366,422,104,210,159,109,84,121,233,213,264,122,sample_753
127,239,105,370,426,101,215,164,106,82,125,239,209,261,122,sample_754
125,236,109,370,424,101,215,164,103,78,123,239,205,261,124,sample_755
127,239,101,370,424,107,210,172,112,84,125,245,213,264,122,sample_756
119,233,105,366,424,107,210,164,103,86,125,239,205,264,122,sample_757
129,245,105,362,428,107,210,164,109,82,127,236,209,272,122,sample_758
129,242,109,372,428,104,215,172,100,78,123,242,205,262,124,sample_759
129,239,105,370,422,104,215,168,97,80,129,239,209,261,122,sample_760
129,242,109,372,428,110,210,164,106,80,127,239,213,264,124,sample_761
125,245,105,370,428,104,210,164,106,82,127,242,213,262,122,sample_762
127,236,105,372,428,101,215,164,97,80,125,239,209,262,122,sample_763
129,239,109,370,422,107,215,172,106,80,125,239,213,262,124,sample_764
127,242,109,362,426,98,210,159,97,80,129,245,209,272,122,sample_765
125,236,109,364,422,107,215,172,109,82,121,233,209,264,124,sample_766
121,239,109,361,424,98,210,172,112,82,119,239,205,261,124,sample_767
125,239,105,361,426,104,210,164,106,86,119,236,213,264,122,sample_768
125,233,109,372,424,107,215,164,100,80,125,239,209,264,124,sample_769
127,239,105,364,428,104,210,164,97,82,125,245,213,272,122,sample_770
129,245,101,370,428,98,210,172,106,82,127,245,213,262,122,sample_771
127,233,109,372,422,101,215,172,100,80,125,242,205,261,124,sample_772
119,233,105,362,426,98,210,172,100,86,121,236,205,266,124,sample_773
127,239,105,370,424,101,215,176,97,80,125,239,213,261,124,sample_774
119,236,113,364,426,107,210,176,109,82,129,236,209,264,122,sample_775
119,233,113,361,428,104,210,164,97,86,127,236,213,264,124,sample_776
127,242,105,364,428,104,210,168,100,80,125,245,213,264,122,sample_777
123,233,105,364,422,107,210,172,97,82,123,236,205,261,124,sample_778
123,239,113,361,426,101,210,164,106,80,121,239,213,268,124,sample_779
127,233,105,372,424,104,215,164,112,82,127,242,213,272,122,sample_780
127,242,101,362,428,110,210,164,106,82,127,233,205,266,122,sample_781
125,245,105,362,428,107,215,164,109,80,125,233,213,272,124,sample_782
123,233,105,362,428,98,210,172,103,86,129,236,201,264,124,sample_783
129,236,105,370,426,107,215,164,109,80,129,239,213,266,122,sample_784
127,242,105,372,424,101,215,168,103,82,127,239,205,261,122,sample_785
125,233,101,364,426,104,210,164,97,86,121,239,209,262,124,sample_786
125,239,105,370,422,104,215,164,97,82,129,236,205,261,122,sample_787
123,239,109,364,426,104,210,172,106,86,123,239,205,262,124,sample_788
125,233,105,370,428,101,215,168,103,78,127,239,205,262,124,sample_789
129,245,105,370,426,107,210,172,106,82,127,245,209,264,122,sample_790
125,245,105,364,428,98,215,164,103,82,127,242,213,268,122,sample_791
121,233,105,362,426,104,210,164,106,86,121,239,205,264,122,sample_792
